貨品編號,貨品名稱,單位
2101200,毛綠豆30KG,件
2101300,綠豆平30KG,件
2102000,本地紅豆30KG,件
2103100,花豆30KG,件
2105010,花生(14號)大-30KG,件
2105103,花生(9號-小)-30KG,件
2105200,花生平-30KG,件
2106200,黃豆３０ＫＧ!!!!!,件
2106201,非基因黃豆３０ＫＧ,件
2106210,夏威夷豆**4L -18.9斤,件
2107000,青仁黑-30KG,件
2108010,黑豆30KG,件
2111010,米豆-30公斤,件
2112000,黑糯米30KG,件
2112007,黑米 **600g-10入,箱
2112015,紅米-30KG,件
2112310,雪山米-30KG,件
2112421,義大利白米A米1k-12入,件
2113000,小米30KG,件
2114000,西谷米20KG,件
2115000,洋薏米30KG,件
2116000,薏仁-30KG,件
2116006,紅薏仁30KG,件
2117000,燕麥25KG,件
2117050,喬麥30KG,件
2118000,麥片20KG,件
2118117,生機三色藜麥400g-6入,箱
2119100,麥茶-30KG,件
2120100,白芝麻25KG,件
2120108,富味香<熟>黑芝麻3K-6入,箱
2120110,富味香<熟>白芝麻3K-6入,箱
2120118,富味鄉-白芝麻-25KG,件
2121005,黑芝麻-30KG,件
2122000,玉米花-22.68K,件
2122001,玉米＜碎＞22.7K,件
