貨品編號,貨品名稱,單位
1601205,金蘭(非基)桌上瓶148ml-12,箱
1601206,薄鹽金蘭(非)醬油500ml-12,箱
1601208,金蘭甘露醬油295ml-12入,箱
1601212,金蘭無添加醬油500ml*6入,箱
1601213,(非基)金蘭五穀醬油500ml-,箱
1601216,金蘭甘露醬油500-12入,箱
1601222,金蘭陳年醬油(非)500G-12,箱
1601224,金蘭非基飄香醬油590ml-1,箱
1601226,(非基)金蘭醬油1000-12入,箱
1601230,金蘭(非基)醬油590ml-12入,箱
1601232,金蘭非基(淡)醬油590-12入,箱
1601239,金蘭松露醬油500ml-6入,箱
1601244,金蘭十三香滷味醬295ml-1,箱
1601410,極品醬油露750ml-12入,箱
1601503,龜甲萬非基醬油500ml-12,箱
1601519,龜甲萬柴魚露1000ml-6入,件
1601524,工研日式柴魚醬油1.8L-6入,件
1601536,雅媽吉鰹魚露1000ml-6入,件
1601554,高慶泉-生魚片醬油1600ml-,箱
1601610,鬼標醬油(神女)1000L-12入,箱
1601620,鬼標醬油(神女)6K-4入,箱
1601702,味王婦友醬油1000cc12入*,件
1601704,味王佳露醬油1L-12入,箱
1601708,婦友純釀造醬油780ml-12,箱
1601720,味王(非基)XO醬油590ml-1,箱
1601741,巧之饌禮盒2入-6盒,箱
1601801,金味王醬油780ml-12入,件
1602002,(非基)金蘭*辣油膏590ml-1,箱
1602006,(非基)金蘭油膏590ml-12入,件
1602009,金蘭甘露油膏500ml-12入,箱
1602012,金蘭松露油膏500ml-6入,箱
1602022,金蘭(非基)甘醇油膏12入,箱
1602090,金蘭190g親子油膏*12入,箱
1602102,雙美人油膏570g-12入,箱
1602104,大同蔭油膏420g-12入,箱
1602302,工研油膏560ml-12入,件
1603004,龜甲萬薄鹽(非基)醬油1600ML,箱
1603008,(非基)龜甲萬醬油1.6L-6入,件
1603104,四季(非基)醬油1600ml-6入,件
1603112,四季(非基)醬油870ml-12入,箱
1603605,金蘭甘醇醬油1500ml-6入,箱
1603606,金蘭(非基)醬油2000ml-6入,箱
1603628,(淡)金蘭(非基)醬油1500CC,箱
1603630,金蘭醬油(非基)1500CC-6入,件
1603633,金蘭非基1.5L陳年醬油6入,箱
1603700,金味王醬油1600CC-6入,箱
1603702,婦友甘醇豆油1.6L-6入,箱
1603706,味王婦友純釀造1.6L-6入,箱
1603811,萬家滴露非基醬油1.6L-6入,箱
1603821,黑龍白蔭醬油1.6L-6入,箱
1605002,(非基)龜甲萬6KG-4入,件
1605105,四季<非基>醬油6K-4入,件
1605502,味全特級純釀醬油6K-4入,件
1605506,味全特級純釀(濃)6K-4入,箱
1605510,味全*醬油露*6K-4入,箱
1605614,金蘭**珍味醬油5L-4入,箱
1605616,金蘭非基(淡)醬油5L-4入,件
1605618,金蘭(非基)甲等醬油5L-4入,件
1605622,金蘭非基(濃)醬油5L-4入,件
1605642,非基金蘭特製5L醬油圓4入,件
1605663,非基金蘭純釀醬油5L圓4入,件
1605665,非基金蘭純釀*淡圓5L-4入,箱
1605710,鮮豐豆油6KG-4入,箱
1605800,金味王醬油6KG-4入,箱
1605810,味王特選醬油6KG-4入,件
1605813,味王特選(濃)醬油6K-4入,箱
1605824,上等婦友醬油5公升-4入,件
1605902,(非基)萬家香醬油6KG-4入,箱
1605904,萬家香壺底油6K-4入,箱
1605906,(非)萬家香(濃)醬油6K-4入,箱
1606203,四季<非基>油膏6K-4入,件
1606405,(非基)金蘭油膏５L-4入,件
1606413,金蘭非基甘醇油膏5L-4入,件
1606423,(非基)金蘭油膏１加崙-4入,件
1606510,鮮豐油膏6KG-4入,箱
1606612,(非基)萬家香油膏6KG-4入,箱
1606700,味王金品油膏6KG-4入,箱
1606800,憶霖蒜蓉油膏3KG-6入,件
1606805,高慶泉蒜蓉油膏3KG-6入,箱
1606900,雙美人油膏5KG-4入,箱
16015411,淬釀干貝風味豆油300ml-1,箱
16015421,淬釀鰹魚風味豆油300ml-1,箱
16015431,淬釀昆布風味豆油300ml-1,箱
