貨品編號,貨品名稱,單位
2821110,味王(包)原汁牛肉5入*6組,件
2821120,味王(包)紅燒牛肉5入*6組,件
2821220,味王紅燒牛肉麵(碗)12入,件
2821222,味王3入紅牛(碗)*4組,件
2821230,味王蔬菜牛肉麵(碗)12入,件
2821290,金味王紅燒牛肉(大碗)12入,件
2822110,味王(包)肉羹麵5入*6組,件
2822120,味王(包)排骨麵5入*6組,件
2822210,味王肉羹麵(碗)12入,件
2822212,味王3入肉羹(碗)*4組,件
2822225,味王排骨酥麵(碗)12入,件
2823110,味王(包)麻油雞絲5入*6組,件
2823210,味王麻油雞絲麵(碗)12入,件
2824110,味王(包)素食麵5入*6組,件
2824210,味王素食麵(碗)12入,件
2825210,味王鮮蝦麵(碗)12入,件
2825220,味王豚骨海鮮麵(碗)12入,件
2826115,味王紅燒牛腩快餐200g24,件
2826125,味王咖哩牛肉快餐200g24,件
2826225,味王咖哩雞肉快餐200g24,件
2826235,味王香菇肉羹快餐200g24,件
2826245,味王筍絲焢肉快餐200g24,件
2826255,味王咖哩豬肉快餐200g24,件
2826425,味王咖哩燴洋菇快餐200g2,件
