貨品編號,貨品名稱,單位
2303060,蜂蜜柚子醬-6入,箱
2303065,蜂蜜**蘋果茶-1900g-6入,箱
2303100,福汎巧克力醬3KG-6入,箱
2303114,福汎-巧克力醬500G-6入,箱
2303115,福汎-巧克力醬900G-6入,箱
2303121,福汎-巧克力<漿>*680g-6,箱
2303200,福汎-花生醬3KG-6入,箱
2303205,(五惠)梨山花生醬3K<細>-6,箱
2303211,福汎-花生醬900G-6入,箱
2303319,五惠-藍莓醬3.3KG-6入,箱
2303332,福汎-椰香奶酥1.8KG-6入,箱
2303334,福汎-椰香奶酥800G-6入**,箱
2303337,福汎-葡萄奶酥450G,箱
2303343,福汎-椰香奶酥450G-6入,箱
2303349,福汎黑芝麻香酥抹醬450g-6,箱
2303354,凍蒜抹醬800G-12入,箱
2303413,七彩巧克力米900g-12入,箱
2303599,加洲杏仁片-18.9斤(,件
2304463,味島(海苔)香鬆-500G,箱
2304464,味島鰹魚香鬆500G-25包入,箱
2304478,浦島香鬆-鰹魚500g-6入,箱
2304479,浦島香鬆-蝦仁500g 6入,箱
2305209,(濟公)紅麵線6KG-5包入,件
2305212,頂好*紅麵線6KG-5入,件
2305304,<益興>麵 線*180g-30包入,件
2305410,益興麵干190g--30包入,件
2305427,雞絲麵55g-50包入(巧媽媽),件
2305428,鍋燒意麵60g-50包入(巧媽,件
2305431,維力蒸煮麵65G-10入,件
2305434,不倒翁Q拉麵<粗麵條>40,件
2305436,舜泰日式拉麵-12袋入,件
2305437,不倒翁Q拉麵<細麵條>40,件
2305438,農立拉麵650g-8袋入,件
2305440,仙之味關廟麵(細)1.2k-12入,件
2305457,刀削麵-50包入(舜泰),件
2305458,蔬菜拉麵**50包入(舜泰,件
2305473,不倒翁泡菜拉麵110g*5入-,件
2305475,不倒翁起司拉麵110g*5入-,件
2305477,不倒翁*辛拉麵110g*5入-8,件
2305479,不倒翁金拉麵5包-8袋入,件
2305483,不倒翁海鮮拉麵110g*5入-,件
2305601,義大利麵500G-24入(可果,件
2305602,(細)義大利天使麵500G-24,件
2305609,可果美1K義大利麵-10包入,件
2305610,貝殼麵500G-24入(馬可波,件
2305614,義大利細扁麵500G-24入(,件
2305620,三色貝殼麵500G-24入(馬,件
2305622,三色彎管麵500G-24入(馬,件
2305628,AA義大利麵500g*24入(河,件
2305701,螺旋麵500G-24入(馬可波,件
2305702,三色螺旋麵500G-24入(馬,件
2305801,彎管麵500G-24入(馬可波,件
2305804,墨魚麵500G-24入(河洛),件
2307000,聯華燒海苔300張入***,件
2307005,綠燒海苔(元本山50入-20袋,件
2307018,燒海苔<巧絲>20包入,件
2307304,豐橋海苔50張-6袋入,件
2307311,特素海苔100張入-48包裝,件
2307312,三角壽司海苔100枚,件
2307400,大倉海苔片絲-20包入,件
2307405,海苔粉**250G-15包入,箱
2307421,橘平屋海苔醬-48入,箱
2307603,聯華對切海苔32枚-30入,件
2307604,聯華對切海苔(40枚)30入,件
2308005,進-蝦餅600G*10入,件
2309357,九月九浸泡藥材專用酒750,箱
2309362,<阿淇師>料理米酒550ml-,件
2309364,<天味>料理米酒600ml-24,箱
2309438,大關清酒2000ml*6入,箱
2309701,河洛西班牙特選白酒-5L-3,件
2309712,福牌料理米酒５Ｌ-4入,箱
2309720,河洛料理紅酒5L-3入,件
2309722,河洛料理白酒5L-3入,件
2309727,河洛(特選)西班牙紅酒5L-3,件
2310007,(鰹魚)蒲島香鬆45g-120入,箱
2311005,皮蛋(4入*36盒)羅東農會,箱
2315003,蜂蜜850G-12入,箱
2315004,飛馬蜂蜜3KG-6入,箱
2315007,黃記蜂蜜3KG-6入,箱
2315011,山泉*龍眼花蜜3KG-6入,箱
2319102,(白)話梅粒-600G-40包(德,箱
2319804,核桃仁1/8(30磅)-22.7斤入,件
2319808,核桃仁(二分之一)22磅(10K,件
2336002,天山牌-香酥鍋巴600g-20,箱
2338001,金蘭雪花酒釀500g-12入,箱
2343026,華南-韓式泡菜(罐)3K-6入,箱
2345118,薄荷岩鹽檸檬糖1kg-6入,箱
2345167,白鴿*春捲皮500g-30包入,件
2346006,高和興-紫蘇梅(整粒)3.6K-4,箱
2346012,SO黑橄欖片3KG-6入(河洛),件
2346013,＜黑＞橄欖-425G-24罐入(,件
2346016,河洛墨西哥青椒片2.8K-6入,件
2346021,紅心橄欖935G-12入(河洛),件
23032061,(五惠)梨山花生醬3KG(粗粒),箱
23054911,葵夢工房蕎麥麵1K-12入,件
23056271,義大利米C米1k-12入(河洛),件
23058021,筆尖麵500G-24入(馬可波,件
3100342,安佳保久乳1L*12入,箱
3100602,彩色迷你棉花糖1K-5包,箱
3100660,OREO碎片454G-12入,箱
3100664,格格脆(巧克力)330g-18入,箱
3100667,原味玉米片350g-16入,箱
3100668,香果圈(家樂氏)320g-12入,箱
3100669,什錦果麥-活力纖果(橘)375,箱
3100912,河洛素松露菌菇醬500g-6入,件
3100915,河洛松露菌菇醬500g-6入,件
23460072,紫蘇梅粒(梅樹牌)450g-12,箱
3110440,麥維他-消化餅乾500G-18,箱
31001471,歐特賽燕麥植物奶-1L-6入(,箱
31006501,家樂氏-香甜玉米片400g-1,箱
31006541,OREO餅乾碎塊1K-12入,箱
31006561,東尼可可片350G-18入,箱
