貨品編號,貨品名稱,單位
1901100,海帶絲-15KG,件
1901200,海帶卷(9-10)-15KG**,件
1901300,海帶芽(濕)-15KG,件
1901319,海帶芽-乾１５公斤,件
1901410,海帶根15KG,件
1901510,落石海帶-厚20KG,件
1901633,味王紫菜湯3.5g30盒入,件
1902016,小蝦仁(原AA)-18KG(合格)*,件
1902022,*４Ａ劍蝦-18K,件
1902035,特上A*蝦仁12KG,件
1902015,蝦仁ＡＡＡ-18K合格,件
1902110,三米蝦尾12KG,件
1902203,總尾- 18KG,件
1902363,櫻花蝦***20斤,件
1902371,***水晶蝦***6KG,件
1902422,蝦皮18KG**,件
1903050,白堯脯12KG,件
1903053,白堯脯(2-3)-12KG,件
1903220,丁香12KG,件
1903304,扁魚-30斤,件
1903410,雙魚-柴魚20入,件
1903420,(昌)柴魚30入,件
1903435,焢湯柴魚1斤-20包入,件
1903441,柴魚*絲*<昌>-40包入***,件
1903442,柴魚花<雙魚>-40包入***,件
1903462,柴魚條10入-18包,件
1903601,角貝10KG,件
1903736,朱貝Ｌ-20公斤,件
1903737,朱貝M-20K,件
1904010,魷魚4-5－18KG*,件
1904020,魷魚5-7－18KG,件
1904313,魷魚絲(切3分)-18KG,件
1904315,赤魷魚絲(切1分半)-18KG,件
1904510,透抽２Ｌ-10KG,件
1904600,鹹小卷10斤,件
1904804,赤耳-大18KG,件
1905110,生頭-10入,件
1907100,冬粉魚刺500G-20入,件
1908006,魚皮-50斤,件
1916300,鮑魚2粒-24入,件
1916305,黃金清湯鮑魚10粒-24入,件
1916310,鮑魚3粒-24入,件
1916353,鮑魚15粒-24入,件
1916360,鮑魚20粒-24入,件
1916370,鮑魚30粒-24入*,件
1916372,鮑魚２５粒-24入,件
1916380,鮑魚塊425g24入(南海),件
1916383,海玉貝(海鮮貝)425g-24入,件
1916410,木瓜鮑魚2粒425g-24入(南,件
1917000,東和鮪魚罐1.8k-大6入,件
1917020,東和三明治鮪魚罐185g-小2,件
1917023,東和麻辣鮪魚150g-24入,件
1918110,活寶魚罐-小220g24入,件
1918200,活寶紅燒鰻100g24入,件
1918206,活寶*蒲燒鰻**24入,件
1918300,活寶海底雞170g24入,件
1922002,新宜興魚罐<平二>230g24,件
1922004,新宜興魚罐<平一>425g12,件
1922010,新宜興紅燒小卷罐90g-24入,件
1922019,新宜興辣味小卷90g-24入,件
1922020,新宜興紅燒鰻100g-24入,件
1922026,新宜興(辣味)燒鰻100g-24,件
1922030,新宜興香筍鮪魚170g-24入,件
1922032,新宜興鮪魚片185g-24入,件
1922034,新宜興三明治鮪魚180g24,件
1922036,新宜興特製鮪魚185g24入,件
1922040,新宜興鮪魚片-大６入1.8kg,件
1922045,新宜興番茄汁秋刀魚(方罐)1,件
1922053,新宜興豆豉燒鰻100g-24入,件
1922060,新宜興竹林香筍150g-24入,件
1922093,新宜興海鰻燒鰻100g24入(,件
1922100,新宜興辣味鯖魚排100g-24,件
1922150,新宜興紅燒帶魚100g-24入,件
1923005,河洛鯷魚48G-25入,件
1924002,鱈魚嫩肝-12小罐入,件
